status,p1_score,p2_score,num_moves
1,25,23,42
1,33,15,28
2,21,27,27
2,17,31,57
2,17,31,33
2,22,26,44
2,21,27,49
1,30,18,50
2,18,30,33
0,24,24,38
1,27,21,50
1,27,21,48
1,32,16,28
1,31,17,44
1,31,17,37
2,16,32,45
1,29,19,43
1,28,20,40
1,34,14,43
2,23,25,25
2,22,26,48
1,36,12,34
2,23,25,41
0,24,24,51
1,29,19,52
1,33,15,33
2,23,25,43
1,35,13,24
1,38,10,40
2,22,26,40
1,33,15,42
1,25,23,57
2,18,30,37
1,28,20,44
1,26,22,45
2,11,37,33
2,18,30,49
1,26,22,43
1,29,19,50
2,23,25,31
1,25,23,44
2,23,25,46
0,24,24,34
2,14,34,43
2,20,28,31
1,27,21,58
1,30,18,46
1,28,20,41
2,18,30,29
2,23,25,38
2,21,27,49
2,23,25,31
2,19,29,33
1,27,21,43
1,30,18,36
2,18,30,41
0,24,24,52
2,22,26,50
2,12,36,35
2,18,30,49
2,22,26,26
2,20,28,48
0,24,24,48
1,30,18,48
1,36,12,34
0,24,24,51
2,16,32,26
2,23,25,54
2,23,25,56
1,25,23,49
2,18,30,54
1,25,23,35
2,23,25,48
2,9,39,19
1,29,19,34
2,16,32,41
2,19,29,52
1,25,23,18
1,29,19,52
1,33,15,32
2,23,25,54
2,17,31,45
2,17,31,47
1,27,21,46
1,31,17,38
2,18,30,55
1,26,22,41
1,37,11,28
0,24,24,65
1,34,14,38
1,27,21,44
2,23,25,40
1,28,20,24
2,17,31,35
2,13,35,40
1,29,19,47
2,22,26,39
1,28,20,24
2,16,32,39
2,20,28,50
